Ns, value
11000, -97.10
11016, -103.67
11032, -96.08
11048, -103.32
11064, -103.99
11080, -102.27
11096, -97.76
11112, -102.65
11128, -101.57
11144, -103.69
11160, -103.54
11176, -103.83
11192, -103.50
11208, -103.55
11224, -96.06
11240, -101.89
11256, -101.45
11272, -103.19
11288, -103.46
11304, -102.14
11320, -93.32
11336, -98.12
11352, -102.35
11368, -97.30
11384, -102.98
11400, -103.57
11416, -104.24
11432, -103.95
11448, -104.73
11464, -103.93
11480, -102.27
11496, -102.77
11512, -102.95
11528, -103.82
11544, -102.64
11560, -104.37
11576, -104.41
11592, -103.17
11608, -103.93
11624, -103.08
11640, -103.74
11656, -103.01
11672, -103.35
11688, -103.50
11704, -104.69
11720, -104.44
11736, -103.64
11752, -105.00}
11768, -104.07
11784, -104.26
11800, -104.13
11816, -104.21
11832, -102.84
11848, -104.01
11864, -103.85
11880, -104.01
11896, -103.61
11912, -104.40
11928, -103.67
11944, -104.00
11960, -104.87
11976, -102.08
11992, -104.82
12008, -102.99
12024, -104.91
12040, -103.32
12056, -103.94
12072, -104.22
12088, -103.90
12104, -104.29
12120, -104.66
12136, -103.74
12152, -102.51
12168, -103.64
12184, -104.33
12200, -104.51
12216, -102.52
12232, -103.51
12248, -103.38
12264, -103.86
12280, -103.84
12296, -102.88
12312, -103.29
12328, -100.15
12344, -102.02
12360, -103.18
12376, -101.55
12392, -104.11
12408, -104.97
12424, -104.49
12440, -105.47
12456, -105.18
12472, -104.85
12488, -104.78
12504, -104.34
12520, -104.71
12536, -104.83
12552, -104.75
12568, -105.69
12584, -105.34
12600, -105.42
12616, -105.12
12632, -105.12
12648, -105.49
12664, -105.57
12680, -105.53
12696, -105.21
12712, -105.30
12728, -105.13
12744, -104.94
12760, -104.45
12776, -104.69
12792, -104.74
12808, -104.99
12824, -104.44
12840, -103.93
12856, -104.11
12872, -104.49
12888, -104.65
12904, -103.78
12920, -105.34
12936, -105.19
12952, -104.87
12968, -104.39
12984, -104.79
